Team,Year,Conference,Subdivision
Louisiana-Lafayette,1918, Louisiana Intercollegiate Athletic Association,No Classification
Louisville (KY),1918, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1918, Independent,No Classification
Maryland,1918, South Atlantic Intercollegiate Athletic Association,No Classification
Massachusetts,1918, Independent,No Classification
Memphis (TN),1918, Independent,No Classification
Miami (OH),1918, Ohio Athletic Conference,No Classification
Michigan,1918, Big Ten Conference,No Classification
Michigan St.,1918, Independent,No Classification
Middle Tennessee St.,1918, Independent,No Classification
Minnesota,1918, Big Ten Conference,No Classification
Mississippi,1918, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1918, Southern Intercollegiate Athletic Association,No Classification
Missouri,1918, Missouri Valley Conference,No Classification
Navy (MD),1918, Independent,No Classification
Nebraska,1918, Missouri Valley Conference,No Classification
Nevada,1918, Independent,No Classification
New Mexico,1918, Independent,No Classification
New Mexico St.,1918, Independent,No Classification
North Carolina,1918, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1918, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1918, Independent,No Classification
Northern Illinois,1918, Independent,No Classification
Northwestern (IL),1918, Big Ten Conference,No Classification
Notre Dame (IN),1918, Independent,No Classification
Ohio,1918, Ohio Athletic Conference,No Classification
Ohio St.,1918, Ohio Athletic Conference,No Classification
Ohio St.,1918, Big Ten Conference,No Classification
Oklahoma,1918, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma,1918, Southwest Conference,No Classification
Oklahoma St.,1918, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma St.,1918, Southwest Conference,No Classification
Oregon,1918, Pacific-12 Conference,No Classification
Oregon St.,1918, Pacific-12 Conference,No Classification
Penn St.,1918, Independent,No Classification
Pittsburgh (PA),1918, Independent,No Classification
Purdue (IN),1918, Big Ten Conference,No Classification
Rice (TX),1918, Southwest Conference,No Classification
Rutgers (NJ),1918, Independent,No Classification
San Jose St. (CA),1918, Independent,No Classification
South Carolina,1918, Southern Intercollegiate Athletic Association,No Classification
Southern California,1918, Pacific-12 Conference,No Classification
Southern Methodist (TX),1918, Texas Intercollegiate Athletic Association,No Classification
Southern Methodist (TX),1918, Southwest Conference,No Classification
Southern Mississippi,1918, Independent,No Classification
Syracuse (NY),1918, Independent,No Classification
Temple (PA),1918, Independent,No Classification
Tennessee,1918, Southern Intercollegiate Athletic Association,No Classification
Texas,1918, Southwest Conference,No Classification
Texas A&M,1918, Southwest Conference,No Classification
Texas Christian,1918, Texas Intercollegiate Athletic Association,No Classification
Texas St.,1918, Independent,No Classification
Texas-El Paso,1918, Independent,No Classification
Toledo (OH),1918, Independent,No Classification
Troy (AL),1918, Independent,No Classification
Tulane (LA),1918, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1918, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Utah,1918, Rocky Mountain Athletic Conference,No Classification
Utah St.,1918, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1918, Southern Intercollegiate Athletic Association,No Classification
Virginia,1918, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1918, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1918, Independent,No Classification
Washington,1918, Pacific-12 Conference,No Classification
Washington St.,1918, Pacific-12 Conference,No Classification
West Virginia,1918, Independent,No Classification
Western Kentucky,1918, Independent,No Classification
Western Michigan,1918, Independent,No Classification
Wisconsin,1918, Big Ten Conference,No Classification
Wyoming,1918, Rocky Mountain Athletic Conference,No Classification
Akron (OH),1919, Ohio Athletic Conference,No Classification
Alabama,1919, Southern Intercollegiate Athletic Association,No Classification
Arizona,1919, Independent,No Classification
Arizona St.,1919, Independent,No Classification
Arkansas,1919, Southwest Conference,No Classification
Arkansas St.,1919, Independent,No Classification
Army (NY),1919, Independent,No Classification
Auburn (AL),1919, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1919, Southwest Conference,No Classification
Boston College (MA),1919, Independent,No Classification
Bowling Green (OH),1919, Independent,No Classification
Buffalo (NY),1919, Independent,No Classification
California,1919, Pacific-12 Conference,No Classification
Central Michigan,1919, Independent,No Classification
Cincinnati (OH),1919, Ohio Athletic Conference,No Classification
Clemson (SC),1919, Southern Intercollegiate Athletic Association,No Classification
Colorado,1919, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1919, Rocky Mountain Athletic Conference,No Classification
Connecticut,1919, Independent,No Classification
Duke (NC),1919, Independent,No Classification
Eastern Michigan,1919, Michigan Intercollegiate Athletic Association,No Classification
Florida,1919, Southern Intercollegiate Athletic Association,No Classification
Georgia,1919, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1919, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1919, Independent,No Classification
Idaho,1919, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1919, Big Ten Conference,No Classification
Indiana,1919, Big Ten Conference,No Classification
Iowa,1919, Big Ten Conference,No Classification
Iowa St.,1919, Missouri Valley Conference,No Classification
Kansas,1919, Missouri Valley Conference,No Classification
Kansas St.,1919, Missouri Valley Conference,No Classification
Kentucky,1919, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1919, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1919, Louisiana Intercollegiate Athletic Association,No Classification
Louisiana-Lafayette,1919, Louisiana Intercollegiate Athletic Association,No Classification
Louisville (KY),1919, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1919, Independent,No Classification
Maryland,1919, South Atlantic Intercollegiate Athletic Association,No Classification
Massachusetts,1919, Independent,No Classification
Memphis (TN),1919, Independent,No Classification
Miami (OH),1919, Ohio Athletic Conference,No Classification
Michigan,1919, Big Ten Conference,No Classification
Michigan St.,1919, Independent,No Classification
Middle Tennessee St.,1919, Independent,No Classification
Minnesota,1919, Big Ten Conference,No Classification
Mississippi,1919, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1919, Southern Intercollegiate Athletic Association,No Classification
Missouri,1919, Missouri Valley Conference,No Classification
Navy (MD),1919, Independent,No Classification
Nebraska,1919, Missouri Valley Conference,No Classification
Nevada,1919, Independent,No Classification
New Mexico,1919, Independent,No Classification
New Mexico St.,1919, Independent,No Classification
North Carolina,1919, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1919, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1919, Independent,No Classification
Northern Illinois,1919, Independent,No Classification
Northwestern (IL),1919, Big Ten Conference,No Classification
Notre Dame (IN),1919, Independent,No Classification
Ohio,1919, Ohio Athletic Conference,No Classification
Ohio St.,1919, Ohio Athletic Conference,No Classification
Ohio St.,1919, Big Ten Conference,No Classification
Oklahoma,1919, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma,1919, Southwest Conference,No Classification
Oklahoma St.,1919, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma St.,1919, Southwest Conference,No Classification
Oregon,1919, Pacific-12 Conference,No Classification
Oregon St.,1919, Pacific-12 Conference,No Classification
Penn St.,1919, Independent,No Classification
Pittsburgh (PA),1919, Independent,No Classification
Purdue (IN),1919, Big Ten Conference,No Classification
Rice (TX),1919, Southwest Conference,No Classification
Rutgers (NJ),1919, Independent,No Classification
San Jose St. (CA),1919, Independent,No Classification
South Carolina,1919, Southern Intercollegiate Athletic Association,No Classification
Southern California,1919, Pacific-12 Conference,No Classification
Southern Methodist (TX),1919, Southwest Conference,No Classification
Southern Mississippi,1919, Independent,No Classification
Stanford (CA),1919, Pacific-12 Conference,No Classification
Syracuse (NY),1919, Independent,No Classification
Temple (PA),1919, Independent,No Classification
Tennessee,1919, Southern Intercollegiate Athletic Association,No Classification
Texas,1919, Southwest Conference,No Classification
Texas A&M,1919, Southwest Conference,No Classification
Texas Christian,1919, Texas Intercollegiate Athletic Association,No Classification
Texas St.,1919, Independent,No Classification
Texas-El Paso,1919, Independent,No Classification
Toledo (OH),1919, Independent,No Classification
Troy (AL),1919, Independent,No Classification
Tulane (LA),1919, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1919, Oklahoma Intercollegiate Conference (1914-1928),No Classification
UCLA,1919, Independent,No Classification
Utah,1919, Rocky Mountain Athletic Conference,No Classification
Utah St.,1919, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1919, Southern Intercollegiate Athletic Association,No Classification
Virginia,1919, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1919, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1919, Independent,No Classification
Washington,1919, Pacific-12 Conference,No Classification
Washington St.,1919, Pacific-12 Conference,No Classification
West Virginia,1919, Independent,No Classification
